Month,U.S. Regular All Formulations Retail Gasoline Prices Dollars per Gallon
Dec-94,1.091
Nov-94,1.116
Oct-94,1.114
Sep-94,1.144
Aug-94,1.155
Jul-94,1.106
Jun-94,1.078
May-94,1.047
Apr-94,1.027
Mar-94,1.008
Feb-94,1.009
Jan-94,0.998
Dec-93,1.014
Nov-93,1.066
Oct-93,1.092
Sep-93,1.05
Aug-93,1.062
Jul-93,1.078
Jun-93,1.097
May-93,1.1
Apr-93,1.078
Mar-93,1.052
Feb-93,1.054
Jan-93,1.062
Dec-92,1.078
Nov-92,1.111
Oct-92,1.114
Sep-92,1.122
Aug-92,1.122
Jul-92,1.137
Jun-92,1.145
May-92,1.107
Apr-92,1.052
Mar-92,1.013
Feb-92,1.006
Jan-92,1.022
Dec-91,1.076
Nov-91,1.099
Oct-91,1.088
Sep-91,1.109
Aug-91,1.115
Jul-91,1.096
Jun-91,1.128
May-91,1.126
Apr-91,1.076
Mar-91,1.04
Feb-91,1.094
Jan-91,
Dec-90,
Nov-90,1.324
Oct-90,1.335
Sep-90,1.258
